Company,Sector,Short description
Datadog,Technology,"Cloud monitoring and security platform for applications, infrastructure and logs."
Wise,Financial technology,"Financial technology company offering international payments, transfers and multi-currency accounts."
Monzo,Financial technology,"Digital bank offering current accounts, savings, payments and personal finance tools."
Klarna,Financial technology,"Payments company offering online checkout, instalment payments and consumer finance products."
Canva,Technology,"Online design and visual communication platform for individuals, teams and organisations."
Anthropic,Artificial intelligence,"Artificial intelligence company developing foundation models and AI assistants."
Mistral AI,Artificial intelligence,"AI company developing open and commercial large language models."
Darktrace,Cybersecurity,"Cybersecurity company using artificial intelligence to detect and respond to cyber threats."
Rightmove,Online property,"UK property portal listing homes and commercial properties for sale and rent."
Ocado,Online grocery and technology,"Online grocery retailer and technology provider for automated fulfilment and e-commerce."
Meta Platforms Inc.,Technology and media,"Social media company operating Facebook, Instagram, WhatsApp and Threads."
Intel Corporation,Semiconductors,"Semiconductor company producing processors and other chips for computers and data centres."
Samsung Electronics Co.,Technology and consumer electronics,"South Korean electronics group making smartphones, memory chips, displays and appliances."
Sony Corporation,Technology and entertainment,"Japanese group spanning gaming, electronics, music, film and financial services."
Oracle Corp.,Technology,"Enterprise software and cloud infrastructure provider focused on databases and business applications."
Salesforce.com,Technology,"Cloud software company providing customer relationship management and related business applications."
Adobe Systems,Technology,"Software company best known for Creative Cloud, Acrobat and digital experience products."
SAP SE,Technology,"Enterprise software provider whose products manage finance, supply chains, human resources and operations."
Spotify Technology,Media and technology,"Audio streaming platform offering music, podcasts and audiobooks."
Uber Technologies,Transport and technology,"Digital platform connecting consumers with ride-hailing, delivery and freight services."
