Company,Sector,Short description
Investec,Financial services,"Specialist bank and asset manager providing investment banking, wealth and private banking services."
OpenAI,Technology,"Artificial intelligence company developing large language models and AI products."
SpaceX,Aerospace,"Aerospace company developing launch vehicles, spacecraft and satellite communications."
TikTok,Media and technology,"Short-form video platform operated by ByteDance."
Revolut,Financial technology,"Digital financial services company offering payments, banking and investment products."
Stripe,Payments and technology,"Financial infrastructure platform helping businesses accept payments and manage online commerce."
Palantir,Technology,"Software company providing data analytics and artificial intelligence platforms to organisations."
Arm,Semiconductors,"Chip architecture and intellectual property company whose designs power many mobile and embedded devices."
FDM Group,Professional services,"IT services company supplying technology consultants and digital transformation support."
Deliveroo,Food delivery and technology,"Online platform connecting consumers with restaurants, grocery providers and delivery riders."
Apple Inc.,Technology,"Consumer technology company known for the iPhone, Mac, iPad, wearables and digital services."
Microsoft Corporation,Technology,"Software and cloud computing company behind Windows, Azure, Microsoft 365 and LinkedIn."
Amazon.com,Consumer and technology,"E-commerce and cloud computing company operating Amazon Marketplace, AWS and logistics networks."
NVIDIA Corporation,Semiconductors,"Chip designer specialising in graphics processors and accelerated computing for AI and data centres."
TSMC Ltd,Semiconductors,"The world's leading contract chip manufacturer, producing advanced semiconductors for technology companies."
JPMorgan Chase & Co,Financial services,"Diversified banking group offering consumer banking, commercial banking, investment banking and asset management."
Goldman Sachs Group,Financial services,"Investment bank active in advisory, markets, asset management and consumer finance."
Coca Cola Company,Consumer goods,"Beverage company selling soft drinks, water, coffee, sports drinks and other refreshments worldwide."
Walmart Inc.,Retail,"Large retailer operating supermarkets, hypermarkets, warehouse clubs and e-commerce platforms."
Maersk A/S,Shipping and logistics,"Integrated logistics company operating container shipping, ports, freight and supply chain services."
Pfizer,Pharmaceuticals,"Pharmaceutical company developing and commercialising medicines and vaccines."
Airbus,Aerospace,"Aircraft manufacturer producing commercial airliners, helicopters, defence systems and space equipment."
Toyota,Automotive,"Japanese vehicle manufacturer producing cars, trucks, hybrids and related mobility services."
Shell,Energy,"Integrated energy company active in oil, gas, liquefied natural gas, chemicals and low-carbon energy."
Visa,Payments,"Global payments network enabling electronic transactions between consumers, merchants and financial institutions."
