Company,Sector,Short description
Meta Platforms,Technology and media,"Social media company operating Facebook, Instagram, WhatsApp and Threads."
Intel,Semiconductors,"Semiconductor company producing processors and other chips for computers and data centres."
Samsung Electronics,Technology and consumer electronics,"South Korean electronics group making smartphones, memory chips, displays and appliances."
Sony,Technology and entertainment,"Japanese group spanning gaming, electronics, music, film and financial services."
Oracle,Technology,"Enterprise software and cloud infrastructure provider focused on databases and business applications."
Salesforce,Technology,"Cloud software company providing customer relationship management and related business applications."
Adobe,Technology,"Software company best known for Creative Cloud, Acrobat and digital experience products."
SAP,Technology,"Enterprise software provider whose products manage finance, supply chains, human resources and operations."
Spotify,Media and technology,"Audio streaming platform offering music, podcasts and audiobooks."
Uber,Transport and technology,"Digital platform connecting consumers with ride-hailing, delivery and freight services."
